Name	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Rarity	Format	Text
Atlantean Pikeman	5DS1	AtlanteanPikeman	Sea Serpent	Water	2	1400	0			The Great Ocean Lord, who reigns over the depths, is served by these lancers. Deep-sea creatures exist in fear of facing the stream of attacks their lances are capable of.
Axe Raider	5DS1	AxeRaider	Warrior	Earth	4	1700	1150			An axe-wielding monster of tremendous strength and agility.
Backup Soldier	5DS1	BackupSoldier	Normal Trap							Activate only if there are 5 or more monsters in your Graveyard. Add up to 3 non-Effect Monsters with 1500 or less ATK from your Graveyard to your hand.
Birthright	5DS1	Birthright	Continuous Trap							Select 1 Normal Monster from your Graveyard and Special Summon it in face-up Attack Position. When this card is removed from the field, destroy that monster. When that monster is removed from the field, destroy this card.
Charcoal Inpachi	5DS1	CharcoalInpachi	Pyro	Fire	1	100	2100			A wicked wooden spirit that has burned out. The barbecue grilled with this charcoal is so awesome that everybody thinks it's priceless.
Colossal Fighter	5DS1	ColossalFighter	Warrior/Synchro/Effect	Dark	8	2800	1000			1 Tuner + 1 or more non-Tuner monsters This card gains 100 ATK for every Warrior-Type monster in any Graveyard. When this card is destroyed by battle and sent to the Graveyard, Special Summon 1 Warrior-Type monster from either player's Graveyard.
Divine Wrath	5DS1	DivineWrath	Counter Trap							Discard 1 card from your hand. Negate the activation of an Effect Monster's effect, and destroy that Effect Monster.
Double Summon	5DS1	DoubleSummon	Normal Spell							You can Normal Summon 1 additional time this turn. You can only gain this effect once per turn.
Frequency Magician	5DS1	FrequencyMagician	Spellcaster/Tuner/Effect	Light	2	800	400			When this card is Normal Summoned, place 1 Spell Counter on it (max. 1). You can remove 1 Spell Counter from this card to have 1 face-up monster you control gain 500 ATK, until the End Phase.
Gaia Knight, the Force of Earth	5DS1	GaiaKnighttheForceofEarth	Warrior/Synchro	Earth	6	2600	800			1 Tuner + 1 or more non-Tuner monsters
Junk Synchron	5DS1	JunkSynchron	Warrior/Tuner/Effect	Dark	3	1300	500			When this card is Normal Summoned, you can Special Summon 1 Level 2 or lower monster from your Graveyard in face-up Defense Position. That monster's effect(s) is negated.
Magna Drago	5DS1	MagnaDrago	Dragon/Tuner/Effect	Fire	2	1400	600			Each time this card inflicts Battle Damage to your opponent, it gains 200 ATK.
Marauding Captain	5DS1	MaraudingCaptain	Warrior/Effect	Earth	3	1200	400			Your opponent cannot select another Warrior-Type monster you control as an attack target. When this card is Normal Summoned, you can Special Summon 1 Level 4 or lower monster from your hand.
Miniaturize	5DS1	Miniaturize	Continuous Trap							Select 1 monster with 1000 or more original ATK. It loses 1000 ATK, and its Level is reduced by 1. When that monster is removed from the field, destroy this card.
Monster Reincarnation	5DS1	MonsterReincarnation	Normal Spell							Discard 1 card. Add 1 Monster Card from your Graveyard to your hand.
Mystic Tomato	5DS1	MysticTomato	Plant/Effect	Dark	4	1400	1100			When this card is destroyed by battle and sent to the Graveyard, you can Special Summon 1 DARK monster with 1500 or less ATK from your Deck in face-up Attack Position.
Renge, Gatekeeper of Dark World	5DS1	RengeGatekeeperofDarkWorld	Fiend	Dark	4	100	2100			His renowned Olympic physique has made him famous with the populace of Dark World. They call him "Iron Wall Renge" because no one can break through his incredible defense.
Rush Recklessly	5DS1	RushRecklessly	Quick-Play Spell							Target face-up monster gains 700 ATK until the end of this turn.
Sakuretsu Armor	5DS1	SakuretsuArmor	Normal Trap							Activate only when an opponent's monster declares an attack. Destroy the attacking monster.
Scrap-Iron Scarecrow	5DS1	ScrapIronScarecrow	Normal Trap							Activate only when an opponent's monster declares an attack. Negate the attack and Set this card face-down again instead of sending it to the Graveyard.
Seven Tools of the Bandit	5DS1	SevenToolsoftheBandit	Counter Trap							Pay 1000 Life Points. Negate the activation of a Trap Card and destroy it.
Sonic Chick	5DS1	SonicChick	Winged Beast/Effect	Earth	1	300	300			This card cannot be destroyed by battle with a monster that has 1900 ATK or more.
Speed Warrior	5DS1	SpeedWarrior	Warrior/Effect	Wind	2	900	400			During the Battle Phase of the turn you Normal Summon this card, you can double its original ATK until the end of the Battle Phase.
Spellbinding Circle	5DS1	SpellbindingCircle	Continuous Trap							Select 1 monster your opponent controls. It cannot attack or change its battle position. When that monster is destroyed, destroy this card.
Spiral Serpent	5DS1	SpiralSerpent	Sea Serpent	Water	8	2900	2900			When huge whirlpools lay cities asunder, it is the hunger of this sea serpent at work. No one has ever escaped its dreaded Spiral Wave to accurately describe the terror they experienced.
Symbols of Duty	5DS1	SymbolsofDuty	Equip Spell							Send 1 Normal Monster you control to the Graveyard. Select and Special Summon 1 monster from either Graveyard and equip it with this card. When this card is removed from the field, destroy the equipped monster.
Synchro Blast Wave	5DS1	SynchroBlastWave	Normal Spell							Activate only while you control a face-up Synchro Monster. Destroy 1 monster your opponent controls.
Synchro Boost	5DS1	SynchroBoost	Equip Spell							The equipped monster gains 500 ATK, and its Level is increased by 1.
Synchronized Realm	5DS1	SynchronizedRealm	Continuous Spell							Each time you Synchro Summon a Synchro Monster, inflict 500 damage to your opponent.
Threatening Roar	5DS1	ThreateningRoar	Normal Trap							Your opponent cannot declare an attack this turn.
Trap Hole	5DS1	TrapHole	Normal Trap							Activate only when your opponent Normal Summons or Flip Summons a monster with 1000 or more ATK. Destroy that monster.
Tune Warrior	5DS1	TuneWarrior	Warrior/Tuner	Earth	3	1600	200			The warrior's antenna can attune it to any energy wave. It can monitor transmissions from miles away but always suffers from bad reception.
Twister	5DS1	Twister	Quick-Play Spell							Pay 500 Life Points. Destroy 1 face-up Spell or Trap card.
UFO Turtle	5DS1	UFOTurtle	Machine/Effect	Fire	4	1400	1200			When this card is destroyed by battle and sent to the Graveyard, you can Special Summon 1 FIRE monster with 1500 or less ATK from your Deck in face-up Attack Position.
Water Spirit	5DS1	WaterSpirit	Aqua/Tuner	Water	1	400	1200			This ancient water spirit haunts the glacial monoliths of Antarctica. It has the power to seep into the pores of any substance and chill it to the bone.
Woodborg Inpachi	5DS1	WoodborgInpachi	Machine	Fire	5	500	2500			The new form of the enigmatic Inpachi, remodeled by cutting-edge Dark World technology. Maneuverability has been sacrificed for strong armor, which was considered more important.
Cyber-Tech Alligator	5DS2	CyberTechAlligator	Machine	Wind	5	2500	1600			Originally a pterodactyl, he was viciously attacked by a dragon. Using the newest technologies, his keeper saved him from near-fatal wounds and brought him back as a powerful cyborg.
Des Koala	5DS2	DesKoala	Beast/Effect	Dark	3	1100	1800			FLIP: Inflict 400 points of Direct Damage to your opponent's Life Points for each card in your opponent's hand.
De-Synchro	5DS2	DeSynchro	Normal Spell							Select 1 face-up Synchro Monster. Return it to its owner's Extra Deck. Then, if all the monsters that were used for the Synchro Summon of that monster are in your Graveyard, you can Special Summon them.
Dust Tornado	5DS2	DustTornado	Normal Trap							Destroy 1 Spell or Trap Card your opponent controls. You can then Set 1 Spell or Trap Card from your hand.
Goblin Attack Force	5DS2	GoblinAttackForce	Warrior/Effect	Earth	4	2300	0			If this card attacks, it is changed to Defense Position at the end of the Battle Phase. This card's battle position cannot be changed until the end of your next turn, except with a card effect.
Gogiga Gagagigo	5DS2	GogigaGagagigo	Reptile	Water	8	2950	2800			His soul long-since collapsed, his body recklessly continues onward, driven by a lust for more power. He no longer resembles his former self.
Gottoms' Emergency Call	5DS2	GottomsEmergencyCall	Normal Trap							Activate only if there is a face-up "X-Saber" monster(s) on the field. Select 2 "X-Saber" monsters in either player's Graveyard(s). Special Summon those monsters to your side of the field.
Junk Warrior	5DS2	JunkWarrior	Warrior/Synchro/Effect	Dark	5	2300	1300			Junk Synchron + 1 or more non-Tuner monsters When this card is Synchro Summoned, it gains ATK equal to the total ATK of all Level 2 and lower monsters on the field.
Limit Reverse	5DS2	LimitReverse	Continuous Trap							Select 1 monster with an ATK of 1000 or less from your Graveyard and Special Summon it in Attack Position. When a monster Special Summoned by this effect is switched to Defense Position, destroy this card and the monster. If this card is removed from the field, destroy the monster. If that monster is destroyed, destroy this card.
Magic Drain	5DS2	MagicDrain	Counter Trap							You can activate this card when your opponent activates a Spell Card. Your opponent can discard 1 Spell Card from his/her hand to negate the effect of this card. If your opponent does not, negate the activation of the Spell Card of your opponent and destroy it.
Powered Tuner	5DS2	PoweredTuner	Dragon/Effect	Water	4	1400	1000			This card gains 500 ATK for each face-up Tuner Monster on the field.
Pride of the Weak	5DS2	PrideoftheWeak	Continuous Spell							When a Level 2 or lower monster you control destroys an opponent's monster by battle and sends it to the Graveyard, if you have no cards in your hand, draw 2 cards.
Raigeki Break	5DS2	RaigekiBreak	Normal Trap							Discard 1 card from your hand. Destroy 1 card on the field.
Road Synchron	5DS2	RoadSynchron	Machine/Tuner/Effect	Light	4	1600	800			If this card is used for the Synchro Summon of a monster other than "Road Warrior", its Level is reduced by 2. If this card attacks, at the end of the Damage Step, increase its Level by 1 until the End Phase.
Road Warrior	5DS2	RoadWarrior	Warrior/Synchro/Effect	Light	8	3000	1500			Road Synchron + 2 or more non-Tuner monsters Once per turn, you can Special Summon 1 Level 2 or lower Warrior-Type or Machine-Type monster from your Deck.
Saber Beetle	5DS2	SaberBeetle	Insect/Effect	Earth	6	2400	600			During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponent's Life Points.
Sabersaurus	5DS2	Sabersaurus	Dinosaur	Earth	4	1900	500			This normally gentle dinosaur enjoys relaxing in its nest in the prairies. If it becomes angered, it turns terribly ferocious.
Sasuke Samurai	5DS2	SasukeSamurai	Warrior/Effect	Wind	2	500	800			When this monster attacks a face-down Defense Position monster, destroy the face-down monster immediately with this card's effect without flipping it face-up or damage calculation.
Skelengel	5DS2	Skelengel	Fairy/Effect	Light	2	900	400			FLIP: Draw 1 card from your Deck.
The Dragon Dwelling In The Cave	5DS2	TheDragonDwellingInTheCave	Dragon	Wind	4	1300	2000			A huge dragon dwelling in a cave. It is horrible when it gets angry, although it is usually quiet. It is said to preserve certain treasures.
Tribute to The Doomed	5DS2	TributetoTheDoomed	Normal Spell							Discard 1 card from your hand. Select 1 monster on the field and destroy it.
Unstable Evolution	5DS2	UnstableEvolution	Equip Spell							While your Life Points are lower than your opponent's, the equipped monster's original ATK becomes 2400. While your Life Points are higher than your opponent's, its original ATK becomes 1000.
Widespread Ruin	5DS2	WidespreadRuin	Normal Trap							Activate only when your opponent's monster declares an attack. Destroy 1 Attack Position monster your opponent controls with the highest ATK. (If it's a tie, you get to choose.)
X-Saber Airbellum	5DS2	XSaberAirbellum	Beast/Tuner/Effect	Earth	3	1600	200			When this card inflicts Battle Damage to your opponent by a direct attack, discard 1 random card from your opponent's hand.
X-Saber Anu Piranha	5DS2	XSaberAnuPiranha	Warrior	Earth	4	1800	1100			A female X-Saber Warrior, known for her graceful attacks and calm decision making in battle. Her ambition is merciless, and strikes fear in the hearts of her enemies.
X-Saber Galahad	5DS2	XSaberGalahad	Warrior/Effect	Earth	4	1800	800			If this card attacks an opponent's monster, this card gains 300 ATK during the Damage Step only. If this card is attacked by an opponent's monster, this card loses 500 ATK during the Damage Step only. When this card is selected as an attack target, you can Tribute another "Saber" monster to negate the attack.
X-Saber Urbellum	5DS2	XSaberUrbellum	Warrior/Synchro/Effect	Earth	7	2200	1300			1 Tuner + 1 or more non-Tuner monsters When this card inflicts Battle Damage to your opponent, if your opponent has 4 or more cards in their hand, place 1 random card from their hand on top of their Deck.
Half Shut	5DS3	HalfShut	Quick-Play Spell							Select 1 face-up monster on the field. That monster cannot be destroyed by battle this turn, and its ATK is halved until the End Phase of this turn.
Junk Destroyer	5DS3	JunkDestroyer	Warrior/Synchro/Effect	Earth	8	2600	2500			Junk Synchron + 1 or more non-Tuner monsters. When this card is Synchro Summoned, you can select and destroy cards on the field, up to the number of non-Tuner monsters used as Synchro Material Monsters for this card.
Rapid Warrior	5DS3	RapidWarrior	Warrior/Effect	Wind	4	1200	200			During your Main Phase 1, you can activate this card's effect. If you do, it can attack your opponent directly this turn. Other monsters cannot attack during the turn your activate this effect.
Synchron Explorer	5DS3	SynchronExplorer	Machine/Effect	Earth	2	0	700			When this card is Normal Summoned, you can select 1 "Synchron" monster in your Graveyard and Special Summon it. Its effects are negated.
Wild Tornado	5DS3	WildTornado	Normal Trap							Select 1 face-up card in the Spell & Trap Card Zones and destroy it. The controller of the destroyed card can then Set 1 Spell or Trap Card from their hand. If this Set card is destroyed and sent to the Graveyard, select and destroy 1 face-up card on the field.
X-Saber Wayne	5DS3	XSaberWayne	Warrior/Synchro/Effect	Earth	5	2100	400			1 Tuner + 1 or more non-Tuner monsters. When this card is Synchro Summoned, you can Special Summon 1 Level 4 or lower Warrior-Type monster from your hand.
7	AST	7	Continuous Spell							When there are 3 face-up "7" cards on your side of the field, draw 3 cards from your Deck. Then destroy all "7" cards. When this card is sent directly from the field to your Graveyard, increase your Life Points by 700 points.
Archlord Zerato	AST	ArchlordZerato	Fairy/Effect	Light	8	2800	2300			This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by Tributing 1 face-up "Warrior of Zera" on your side of the field while "The Sanctuary in the Sky" is on the field. If "The Sanctuary in the Sky" is on your side of the field, by discarding 1 LIGHT Monster Card from your hand to the Graveyard, destroy all monsters on your opponent's side of the field. If "The Sanctuary in the Sky" is not on your side of the field, this effect is not applied.
Armor Break	AST	ArmorBreak	Counter Trap							Negate the activation of an Equip Spell card and destroy it.
Atomic Firefly	AST	AtomicFirefly	Insect/Effect	Light	1	100	200			When this face-up card on the field attacks or is attacked and it is destroyed by battle, the player who destroyed it takes 1000 points of damage
Avatar of The Pot	AST	AvatarofThePot	Rock/Effect	Earth	3	1200	1300			Send 1 "Pot of Greed" from your hand to the Graveyard to draw 3 cards from your Deck.
Backfire	AST	Backfire	Continuous Trap							When a FIRE monster on your side of the field is destroyed and sent to the Graveyard, inflict 500 damage to your opponent.
Beckoning Light	AST	BeckoningLight	Normal Trap							Discard all the cards in your hand to the Graveyard, then select a number of LIGHT monsters from your Graveyard equal to the number of cards you discarded, and add them to your hand.
Blessings of the Nile	AST	BlessingsoftheNile	Continuous Spell							Each time card(s) are discarded from your hand to the Graveyard by the effect of a card controlled by your opponent, gain 1000 Life Points.
Blowback Dragon	AST	BlowbackDragon	Machine/Effect	Dark	6	2300	1200			Once per turn, you can toss a coin 3 times. If at least 2 of the results are Heads, destroy 1 card your opponent controls.
Burst Stream of Destruction	AST	BurstStreamofDestruction	Normal Spell							Activate only while you control a face-up "Blue-Eyes White Dragon". Destroy all monsters your opponent controls. "Blue-Eyes White Dragon" cannot attack the turn you activate this card.
Curse of Anubis	AST	CurseofAnubis	Normal Trap							All face-up Effect Monsters on the field are changed to Defense Position. During the turn this card is activated, the original DEF of those Effect Monsters become 0 and their Battle Positions cannot be changed.
Delta Attacker	AST	DeltaAttacker	Normal Spell							Activate only when there are 3 Normal Monsters of the same name (except Tokens) on your side of the field. The 3 Normal Monsters of the same name can attack your opponent directly during the turn this card is activated.
Des Counterblow	AST	DesCounterblow	Continuous Trap							Destroy any monster that inflicts Battle Damage to a player's Life Points by attacking directly.
