Name	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Rarity	Format	Text
Aegis of Gaia	GLD3	AegisofGaia1	Continuous Trap							Gain 3000 Life Points. If this face-up card is removed from the field, take 3000 damage.
Amazoness Archer	GLD3	AmazonessArcher	Warrior/Effect	Earth	4	1400	1000			You can Tribute 2 monsters to inflict 1200 damage to your opponent.
Amazoness Archers	GLD3	AmazonessArchers1	Normal Trap							Activate only when your opponent declares an attack while you control an "Amazoness" monster. All monsters your opponent controls are changed to face-up Attack Position (Flip Effects do not activated), and lose 500 ATK as long as they remain face-up on the field. Your opponent must attack with all of their monsters.
Amazoness Blowpiper	GLD3	AmazonessBlowpiper1	Warrior/Effect	Earth	3	800	1500			Select 1 face-up monster your opponent controls during each of your Standby Phases. It loses 500 ATK until the end of this turn.
Amazoness Chain Master	GLD3	AmazonessChainMaster1	Warrior/Effect	Earth	4	1500	1300			When this card is destroyed by battle and sent to the Graveyard, you can pay 1500 Life Points to look at your opponent's hand, select 1 Monster Card in it, and add that card to your hand.
Amazoness Fighter	GLD3	AmazonessFighter1	Warrior/Effect	Earth	4	1500	1300			You take no battle damage from battles involving this card.
Amazoness Paladin	GLD3	AmazonessPaladin1	Warrior/Effect	Earth	4	1700	300			This card gains 100 ATK for each "Amazoness" monster you control.
Amazoness Swords Woman	GLD3	AmazonessSwordsWoman1	Warrior/Effect	Earth	4	1500	1600			The opponent takes all Battle Damage that you would have taken from a battle involving this card.
Amazoness Tiger	GLD3	AmazonessTiger1	Beast/Effect	Earth	4	1100	1500			You can only control 1 "Amazoness Tiger". This card gains 400 ATK for each "Amazoness" monster you control. Your opponent cannot attack another "Amazoness" monster.
Black Whirlwind	GLD3	BlackWhirlwind1	Continuous Spell						A1/T1	When a "Blackwing" monster is Normal Summoned to your side of the field, you can add 1 "Blackwing" monster from your Deck to your hand that has less ATK than that monster.
Blackwing - Blizzard the Far North	GLD3	BlackwingBlizzardtheFarNorth1	Winged Beast/Tuner/Effect	Dark	2	1300	0			This card cannot be Special Summoned. When this card is Normal Summoned, you can Special Summon 1 Level 4 or lower "Blackwing" monster from your Graveyard in face-up Defense Position.
Blackwing - Bora the Spear	GLD3	BlackwingBoratheSpear1	Winged Beast/Effect	Dark	4	1700	800			If you control a "Blackwing" monster other than "Blackwing - Bora the Spear", you can Special Summon this card from your hand. During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponent.
Blackwing - Gale the Whirlwind	GLD3	BlackwingGaletheWhirlwind1	Winged Beast/Tuner/Effect	Dark	3	1300	400		A1/T1	If you control a "Blackwing" monster other than "Blackwing - Gale the Whirlwind", you can Special Summon this card from your hand. Once per turn, you can halve the ATK and DEF of 1 face-up monster your opponent controls.
Blackwing - Shura the Blue Flame	GLD3	BlackwingShuratheBlueFlame1	Winged Beast/Effect	Dark	4	1800	1200			When this card destroys an opponent's monster by battle and sends it to the Graveyard, you can Special Summon 1 "Blackwing" monster with 1500 or less ATK from your Deck. That monster's effect(s) is negated.
Blackwing Armed Wing	GLD3	BlackwingArmedWing1	Winged Beast/Synchro/Effect	Dark	6	2300	1000			1 "Blackwing" Tuner + 1 or more non-Tuner monsters. If this card attacks a Defense Position monster, it gains 500 ATK during the Damage Step only. During battle between this attacking card and a Defense Position monster whose DEF is lower then this ATK of this card, inflict the difference as Damage Damage to your opponent.
Blackwing Armor Master	GLD3	BlackwingArmorMaster1	Winged Beast/Synchro/Effect	Dark	7	2500	1500			1 "Blackwing" Tuner + 1 or more non-Tuner monsters. This card cannot be destroyed by battle, and you take no Battle Damage from battles involving this card. If this card attacks a monster, you can place 1 Wedge Counter on that monster at the end of the Damage Step (max. 1). You can remove all Wedge Counters from your opponent's monsters to reduce the ATK and DEF of each monster that had a Wedge Counter to 0, until the End Phase.
Dimensional Alchemist	GLD3	DimensionalAlchemist1	Fairy/Effect	Light	4	1300	200			Once per turn, you can activate this effect to remove from play the top card of your Deck and give this card 500 ATK until the End Phase. When this card is destroyed and sent from your side of the field to the Graveyard, you can select 1 of your removed from play monsters and return it to your hand.
Dramatic Rescue	GLD3	DramaticRescue1	Normal Trap							Activate only when a card is activated that targets an "Amazoness" monster. Return the targeted monster to its owner's hand and Special Summon 1 other monster from your hand.
Enemy Controller	GLD3	EnemyController2	Quick-Play Spell							Select and activate 1 of these effects: *Change the Battle Position of 1 face-up monster on your opponent controls. *Tribute 1 monster. Select 1 face-up monster your opponent controls. Take control of it until the End Phase.
Exploder Dragon	GLD3	ExploderDragon1	Dragon/Effect	Earth	3	1000	0			When this card is destroyed by battle and sent to the Graveyard, destroy the monster that destroyed it. While this card is attacking, any Battle Damage either player takes from a battle involving this card becomes 0.
Freya, Spirit of Victory	GLD3	FreyaSpiritofVictory1	Fairy/Effect	Light	1	100	100			While you control a face-up Fairy-Type monster(s) other than "Freya, Spirit of Victory", this card cannot be selected as an attack target. All Fairy-Type monsters you control gain 400 ATK and DEF.
Goblin Zombie	GLD3	GoblinZombie1	Zombie/Effect	Dark	4	1100	1050			When this card inflicts Battle Damage to your opponent, send the top card of their Deck to the Graveyard. When this card is sent from the field to the Graveyard, add 1 Zombie-Type monster with 1200 or less DEF from your Deck to your hand.
Infernity Archfiend	GLD3	InfernityArchfiend1	Fiend/Effect	Dark	4	1800	1200			When you have no cards in your hand and draw this card, you can reveal it to Special Summon it. When this card is Special Summoned, if you have no cards in your hand, you can add 1 "Infernity" card from your deck to your hand.
Infernity Dwarf	GLD3	InfernityDwarf1	Warrior/Effect	Dark	2	800	500			While you have no cards in your hand, during battle between an attacking monster you control and a Defense Position monster whose DEF is lower than the ATK of the attacking monster, inflict the difference as Battle Damage to your opponent.
Infernity Guardian	GLD3	InfernityGuardian1	Fiend/Effect	Dark	4	1200	1700			While you have no cards in your hand, this face-up card cannot be destroyed by battle or by card effects.
Magical Arm Shield	GLD3	MagicalArmShield1	Normal Trap							Activate only when your opponent declares an attack while you control a monster. Take control of 1 of your opponent's face-up monsters, except the attacking monster, until the end of the Battle Phase. It is attacked instead.
Mist Condor	GLD3	MistCondor	Winged Beast/Tuner/Effect	Wind	4	1400	400			You can Special Summon this card from your hand by returning 1 face-up "Mist Valley" monster you control to the hand. If you do, this card's ATK becomes 1700.
Mist Valley Watcher	GLD3	MistValleyWatcher1	Spellcaster	Wind	4	1500	1900			Descendant of a family that has served as Mist Valley watchman over the generations. Never missed a single thing that happened in the valley, no matter how minute.
Mist Valley Windmaster	GLD3	MistValleyWindmaster	Winged Beast/Tuner/Effect	Wind	2	400	800			Once per turn, if both players have 5 or more cards in their hand, you can activate this effect to make both players send cards from their hand to the Graveyard until they have 4 cards.
My Body As A Shield	GLD3	MyBodyAsAShield1	Quick-Play Spell							Activate only by paying 1500 Life Points when your opponent activates a card or effect that would destroy a monster(s) on the field. Negate the activation of that card and destroy it.
Numbing Grub in the Ice Barrier	GLD3	NumbingGrubintheIceBarrier	Insect/Effect	Water	4	1300	1800			When this card is Normal Summoned, select 1 unused Monster Card Zone. While this card is face-up on the field, that selected Monster Card Zone cannot be used.
Plaguespreader Zombie	GLD3	PlaguespreaderZombie1	Zombie/Tuner/Effect	Dark	2	400	200		A1/T1	You can return 1 card from your hand to the top of the Deck to Special Summon this card from the Graveyard. If you do, remove this card from play when it is removed from the field.
Reese the Ice Mistress	GLD3	ReesetheIceMistress	Sea Serpent/Tuner/Effect	Water	2	800	800			This card cannot be destroyed by battle with a Level 4 or higher monster.
Smashing Ground	GLD3	SmashingGround1	Normal Spell							Destroy the face-up monster your opponent controls with the highest DEF. (If it is a tie, you get to choose.)
Vice Dragon	GLD3	ViceDragon1	Dragon/Effect	Dark	5	2000	2400			If your opponent controls a monster and you control no monsters, you can Special Summon this card from your hand. If you do, its original ATK and DEF are halved.
Worm Falco	GLD3	WormFalco	Reptile/Effect	Light	2	500	800			FLIP: Change all face-up Reptile-Type "Worm" monsters you control to face-down Defense Position, except this card.
Worm Gulse	GLD3	WormGulse	Reptile/Effect	Light	4	1500	300			Each time a face-down Defense Position monster is flipped face-up, place 1 Worm Counter on this card. This card gains 300 ATK for each Worm Counter on it.
Worm Hope	GLD3	WormHope	Reptile/Effect	Light	1	800	1500			FLIP: When this card is flipped face-up by an opponent's monster's attack , draw 1 card. When this card is sent from the field to the Graveyard, send 1 card in your hand to the Graveyard.
Black Luster Soldier - Envoy of the Beginning	GLD4	BlackLusterSoldierEnvoyoftheBeginning1	Warrior/Effect	Light	8	3000	2500		A1/T1	This card cannot be Normal Summoned or Set. This card can only be Special Summoned by removing from play 1 LIGHT and 1 DARK monster in your Graveyard. Once during each of your turns, you can select and activate 1 of the following effects: *Select 1 monster on the field, and remove it from play. If you activate this effect, this card cannot attack during this turn. *If this card destroyed your opponent's monster by battle, it can attack once again in a row.
Ally of Justice Catastor	HA01	AllyofJusticeCatastor1	Machine/Synchro/Effect	Dark	5	2200	1200			If this card attacks or is attacked by a non-DARK monster, destroy that monster at the start of the Damage Step (without damage calculation).
Ally of Justice Clausolas	HA01	AllyofJusticeClausolas	Machine	Dark	6	2300	1200			A mighty monster in Mist Valley, and the ultimate weapon designed from Claiomh Solias. Its surprise attacks from above baffle invaders.
Ally of Justice Garadholg	HA01	AllyofJusticeGaradholg	Machine/Effect	Dark	4	1600	400			If this card battles a LIGHT monster, it gains 200 ATK during the Damage Step only.
Ally of Justice Rudra	HA01	AllyofJusticeRudra	Machine/Effect	Dark	5	1900	1200			f this card battles a LIGHT monster, it gains 700 ATK during the Damage Step only.
Berserker Crush	HA01	BerserkerCrush	Quick-Play Spell							Remove from play 1 monster from your Graveyard. The ATK and DEF of 1 face-up "Winged Kuriboh" you control become equal to the ATK and DEF of that monster, until the End Phase of this turn.
Blizzard Warrior	HA01	BlizzardWarrior	Warrior/Effect	Water	3	1400	400			If this card destroys an opponent's monster by battle, look at the top card of their Deck, then return it to either the top or bottom of their Deck.
Blizzed, Defender of the Ice Barrier	HA01	BlizzedDefenderoftheIceBarrier	Aqua/Effect	Water	1	300	500			When this card is destroyed by battle and sent to the Graveyard, draw 1 card.
Brionac, Dragon of the Ice Barrier	HA01	BrionacDragonoftheIceBarrier	Sea Serpent/Synchro/Effect	Water	6	2300	1400		A1/T1	You can discard any number of cards to the Graveyard to return the same number of cards from the field to the hand.
Commander Gottoms, Swordmaster	HA01	CommanderGottomsSwordmaster	Beast-Warrior/Effect	Earth	6	2100	1600			All face-up "Saber" monsters you control gain 400 ATK.
Cryomancer of the Ice Barrier	HA01	CryomanceroftheIceBarrier	Aqua/Tuner	Water	2	1300	0			While you control another "Ice Barrier" monster, Level 4 or higher monsters cannot declare an attack.
Detonate	HA01	Detonate	Quick-Play Spell							Destroy all face-up "Kuriboh" and "Kuriboh Tokens" you control, along with a number of cards your opponent controls, up to the number of "Kuriboh" and "Kuriboh Tokens" destroyed by this effect.
Evolution Burst	HA01	EvolutionBurst	Normal Spell							Activate only while you control a face-up "Cyber Dragon"(s). Destroy 1 card your opponent controls. "Cyber Dragon" cannot attack the turn you activate this card.
Flamvell Dragnov	HA01	FlamvellDragnov	Dragon/Effect	Fire	2	1100	200			When this card is destroyed by battle and sent to the Graveyard, inflict 500 damage to your opponent. You can remove from play this card in your Graveyard, along with 1 face-up FIRE monster you control, to add 1 "Flamvell Dragnov" from your Deck to your hand.
Flamvell Guard	HA01	FlamvellGuard	Dragon/Tuner	Fire	1	100	2000			A Flamvell guardian who commands fire with his will. His magma-hot barrier protects his troops from intruders.
Flamvell Magician	HA01	FlamvellMagician	Spellcaster/Tuner	Fire	4	1400	200			While you control an "Ally of Justice" monster(s), this card gains 400 ATK.
Flamvell Uruquizas	HA01	FlamvellUruquizas	Pyro/Synchro/Effect	Fire	6	2100	400			During battle between this attacking card and a Defense Position monster whose DEF is lower than the ATK of this card, inflict the difference as Battle Damage to your opponent. This card gains 300 ATK each time it inflicts Battle Damage to your opponent.
Mist Valley Shaman	HA01	MistValleyShaman	Winged-Beast/Tuner	Wind	3	1200	1200			Once per turn, you can return 1 other monster you control to the hand, to have this card gain 500 ATK until the End Phase.
Mist Valley Soldier	HA01	MistValleySoldier	Winged-Beast/Tuner	Wind	4	1700	300			While you control this face-up card, any opponent's monster that battles this card, but is not destroyed by battle, returns to its owner's hand at the end of the Damage Step.
Mist Valley Thunderbird	HA01	MistValleyThunderbird	Thunder/Effect	Wind	3	1100	700			When this face-up card on the field returns to the hand, Special Summon it. This card cannot attack during the Turn it was Special Summoned by this effect.
Mist Wurm	HA01	MistWurm	Thunder/Synchro/Effect	Wind	9	2500	1500			1 Tuner + 2 or more non-Tuner monsters. When this card is Synchro Summoned, return up to 3 cards your opponent controls to the hand.
Worm Apocalypse	HA01	WormApocalypse	Reptile/Effect	Light	1	300	200			FLIP: Destroy 1 Spell or Trap Card
Worm Barses	HA01	WormBarses	Reptile/Effect	Light	3	1400	1500			When this card is Normal Summoned, change 1 Defense Position monster to face-up Attack Position.
Worm Cartaros	HA01	WormCartaros	Reptile/Effect	Light	4	1200	500			FLIP: Add 1 Level 4 or lower Reptile-Type monster "Worm" from your Deck to your hand.
Worm Dimikles	HA01	WormDimikles	Reptile/Effect	Light	4	1700	1400			FLIP: This card gains 300 ATK and DEF.
Worm Erokin	HA01	WormErokin	Reptile/Effect	Light	6	2400	1200			This card cannot be Special Summoned. Once per turn, select 1 face-up Reptile-Type "Worm" monster on the field and change it into face-down Defense Position.
Wrath of Neos	HA01	WrathofNeos	Normal Spell							Select 1 face-up "Elemental Hero Neos" you control. Return it to the Deck and destroy all cards on the field.
X-Saber Axel	HA01	XSaberAxel	Warrior/Effect	Earth	1	400	100			While you control this face-up card, when a "Saber" monster is destroyed by battle and sent to the Graveyard, draw 1 card.
X-Saber Uruz	HA01	XSaberUruz	Beast-Warrior/Effect	Earth	4	1600	100			When this card destroys an opponent's monster by battle and sends it to the Graveyard, you can Tribute this card to return the destroyed card to the top of its owner's Deck.
Ally Mind	HA02	AllyMind	Machine/Tuner	Dark	5	1800	1400			A high-performance unit developed to enhance the Artificial Intelligence program in Allies of Justice. Loaded with elements collected from a meteor from the Worm Nebula, it allows for high tuning performance, but its true capacity is not yet uncovered.
Ally of Justice Cosmic Gateway	HA02	AllyofJusticeCosmicGateway	Machine/Effect	Dark	8	2400	1200			If your opponent controls 2 or more monsters, including a LIGHT monster, you can Special Summon this card from your hand.
Ally of Justice Enemy Catcher	HA02	AllyofJusticeEnemyCatcher	Machine/Effect	Dark	6	1800	1800			When this card is Normal Summoned, you can gain control of 1 face-down Defense Position monster your opponent controls until the End Phase.
Ally of Justice Field Marshal	HA02	AllyofJusticeFieldMarshal	Machine/Synchro/Effect	Dark	9	2900	2600			1 Tuner + 2 or more non-Tuner monsters. This card cannot be Special Summoned except by Synchro Summon. When this card destroys a face-down Defense Position monster by battle and sends it to the Graveyard, draw 1 card.
Ally of Justice Nullfier	HA02	AllyofJusticeNullfier	Machine/Effect	Dark	4	1600	1200			The effects of LIGHT monsters that battle this card are negated.
Ally of Justice Reverse Break	HA02	AllyofJusticeReverseBreak	Machine/Effect	Dark	4	1200	1200			If a face-up LIGHT monster is on the field, destroy this card. If this card attacks a face-down Defense Position monster, destroy that monster immediately with this card's effect without flipping it face-up or applying damage calculation.
Ally of Justice Searcher	HA02	AllyofJusticeSearcher	Machine/Effect	Dark	3	1400	100			Once per turn, you can discard 1 card to flip 1 face-down Defense Position monster your opponent controls to face-up Attack Position. Flip Effects are not activated at that time.
Ally of Justice Thunder Armor	HA02	AllyofJusticeThunderArmor	Machine/Effect	Dark	8	2700	2200			This card cannot be Special Summoned. While you control this face-up card, during battle between an attacking "Ally of Justice" monster you control and a Defense Position monster whose DEF is lower than the ATK of the attacking monster, inflict the difference as Battle Damage to your opponent.
Ally of Justice Unlimiter	HA02	AllyofJusticeUnlimiter	Machine/Effect	Dark	2	600	200			You can Tribute this card to double the original ATK of 1 face-up "Ally of Justice" monster you control until the End Phase.
Dai-sojo of the Ice Barrier	HA02	DaisojooftheIceBarrier	Spellcaster/Effect	Water	6	1600	2200			When this card is Normal or Flip Summoned, it is changed to Defense Position. Face-up "Ice Barrier" monsters you control cannot be destroyed by Spell or Trap Card effects.
Dewloren, Tiger King of the Ice Barrier	HA02	DewlorenTigerKingoftheIceBarrier	Beast/Synchro/Effect	Water	6	2000	1400		A2/T2	1 Tuner + 1 or more non-Tuner WATER monsters  Once per turn, you can return any number of face-up cards you control to the owner's hand. This card gains 500 ATK for each card returned to the owner's hand by this effect until the End Phase of this turn.
Fabled Gallabas	HA02	FabledGallabas	Fiend/Effect	Light	4	1500	800			You can discard 1 card to the Graveyard to destroy 1 face-up monster your opponent controls with DEF lower than this card's ATK.
Fabled Grimro	HA02	FabledGrimro	Fiend/Effect	Light	4	1700	1000			While you control a face-up "Fabled" monster, you can send this card from your hand to the Graveyard to add 1 "Fabled" monster other than "Fabled Grimro" from your Deck to your hand.
Fabled Kushano	HA02	FabledKushano	Fiend/Tuner	Light	3	1100	800			You can discard 1 "Fabled" monster to the Graveyard except "Fabled Kushano" to add this card from your Graveyard to your hand.
