Name	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Rarity	Format	Text
Junk Collector	DDY2	J-YB01	Warrior/Effect	Light	5	1000	2200		ocg	You can remove from play this face-up card and 1 Normal Trap Card in your Graveyard to have this card gain the same effect as the removed from play Normal Trap Card. This effect can be activated during either player's turn.
Backup Warrior	DDY2	J-YB02	Warrior/Effect	Earth	5	2100	0		ocg	This card cannot be Normal Summoned or Set. This card can only be Special Summoned by controlling exactly 2 Defense Position monsters. You cannot Synchro Summon the turn you Special Summon this card.
Dododo Warrior	DP12	J-DL11	Warrior/Effect	Earth	6	2300	900		ocg	You can Normal Summon this card without Tributing. When this card is Summoned by its own effect: Its ATK becomes 1800. If this card attacks, card effects that activate in your opponent's Graveyard are negated, until the end of the Damage Step.
Number 61: Volcasaurus	DP12	J-DL15	Dinosaur/Xyz/Effect	Fire	*5	2500	1000		ocg	2 Level 5 monsters. Once per turn: You can detach 1 Xyz Material from this card to target 1 face-up monster your opponent controls; destroy the target and inflict damage to your opponent equal to that monster's original ATK. This card cannot attack your opponent directly during the turn you activate this effect.
Number 19: Freezerdon	DP12	J-DL16	Dinosaur/Xyz/Effect	Water	*5	2000	2500		ocg	2 Level 5 monsters. Once per turn, if you would activate an effect by detaching Xyz Materials, you can detach 1 Xyz Material from this card instead.
Gagaga Back	DP12	J-DL23	Quick-Play Spell						ocg	During the turn a "Gagaga" monster you control was destroyed by battle and sent to the Graveyard: Special Summon as many of your monsters destroyed by battle this turn as possible in face-up Defense Position, and take 600 damage for each monster Special Summoned this way. You can only activate 1 "Gagaga Back" per turn.
Gagaga Shield	DP12	J-DL30	Normal Trap						ocg	Equip this card to a face-up Spellcaster-Type monster you control. Up to twice per turn, the equipped monster cannot be destroyed by battle or card effects.
Gem-Knight Crystal	DT11	J-DO16	Rock	Earth	7	2450	1950		ocg	A high ranking Gem-Knight who gains power by optimizing Crystal Power, and overwhelms his opponents. But, he often feels a limit to his optimizing capability, and values bonds with his friends.
Tender of the Laval Volcano	DT11	J-DO17	Pyro/Tuner	Fire	1	100	200		ocg	When this card is sent to the Graveyard, if there is a "Laval" monster other than "Tender of the Laval Volvano" in your Graveyard, you can send 1 "Laval" monster from your Deck to the Graveyard.
Laval Cannoneer	DT11	J-DO18	Warrior/Effect	Fire	4	1600	900		ocg	When this card is Normal or Flip Summoned, you can select 1 of your removed from play "Laval" monsters, and Special Summon it.
Vylon Sphere	DT11	J-DO19	Machine/Tuner	Light	1	400	400		ocg	If this card is sent from a Monster Card Zone to the Graveyard, you can pay 500 Life Points to equip it to 1 face-up monster you control as an Equip Card. You can send this card equipped to a monster to the Graveyard to select 1 Equip Spell Card in your Graveyard, and equip it to the monster equipped with this card.
Vylon Tetrah	DT11	J-DO20	Machine/Tuner	Light	2	900	900		ocg	If this card is sent from a Monster Card Zone to the Graveyard, you can pay 500 Life Points to equip it to 1 face-up monster you control as an Equip Card. If the equipped monster would be destroyed, you can destroy this card instead.
Vylon Stella	DT11	J-DO21	Fairy/Tuner	Light	3	1400	200		ocg	If this card is sent from a Monster Card Zone to the Graveyard, you can pay 500 Life Points to equip it to 1 face-up monster you control as an Equip Card. Destroy the opponent's monster that battled the equipped monster at the end of the Damage Step.
Vylon Prism	DT11	J-DO22	Thunder/Tuner	Light	4	1500	1500		ocg	If this card is sent from a Monster Card Zone to the Graveyard, you can pay 500 Life Points to equip it to 1 face-up monster you control as an Equip Card. If the equipped monster battles, it gains 1000 ATK during the Damage Step only.
Vylon Hapt	DT11	J-DO23	Fairy/Effect	Light	4	1800	800		ocg	Once per turn, you can select 1 "Vylon" Monster Card you control equipped to a monster as an Equip Card, and Special Summon it in face-up Defense Position. Remove it from play when it is removed from the field.
Gishki Eater	DT11	J-DO24	Aqua/Effect	Water	2	500	800		ocg	When this card is Normal or Flip Summoned, while you control another face-up "Gishki" monster, you can select 1 monster you control other than this card, and return it to the hand.
Gishki Noelia	DT11	J-DO25	Spellcaster/Effect	Water	4	1700	1000		ocg	When this card is Normal Summoned, you can reveal 5 cards from the top of your Deck. If there are Ritual Spell Cards or "Gishki" Monster Cards among the revealed cards, send them to the Graveyard. Return the rest to the bottom of the Deck in any order.
Gusto Skwirl	DT11	J-DO26	Thunder/Tuner	Wind	2	0	1800		ocg	When this card is destroyed by a card effect and sent to the Graveyard, you can Special Summon 1 Level 5 or higher "Gusto" monster from your deck.
Reeze, Whirlwind of Gusto	DT11	J-DO27	Psychic/Effect	Wind	5	1900	1400		ocg	Once per turn, you can return 1 card from your hand to the bottom of the Deck to select 1 monster your opponent controls and 1 face-up "Gusto" monster you control. Switch control of those monsters.
Steelswarm Genesoid	DT11	J-DO28	Fiend/Effect	Dark	2	1000	0		ocg	This card can be treated as 2 Tributes for the Tribute Summon of a "Steelswarm" monster.
Steelswarm Sentinel	DT11	J-DO29	Fiend/Effect	Dark	3	1100	0		ocg	While this card is in face-up Attack Position, all face-up Level 5 or higher Special Summoned monsters on the field cannot activate their effects.
Steelswarm Needle	DT11	J-DO30	Fiend/Effect	Dark	4	1850	0		ocg	When this card you control is sent to the Graveyard, select 1 face-up Ritual, Fusion or Synchro Monster on the field, and destroy it.
Steelswarm Longhorn	DT11	J-DO31	Fiend/Effect	Dark	9	3000	0		ocg	When this card is Tribute Summoned by Tributing a "Steelswarm" monster, it gains the following effect: Once per turn, you can pay 1000 Life Points to select 1 monster on the field, and destroy it.
Steelswarm Hercules	DT11	J-DO32	Fiend/Effect	Dark	10	3200	0		ocg	This card cannot be Special Summoned. You must Tribute 3 "Steelswarm" monsters to Normal Summon this card (You cannot Set this card). Once per turn, you can pay half of your Life Points to destroy all other cards on the field.
Evigishki Tetrogre	DT11	J-DO33	Aqua/Ritual/Effect	Water	6	2600	2100		ocg	This card can only be Ritual Summoned with a "Gishki" Ritual Spell Card. Once per turn, you can declare 1 card type (Monster, Spell, or Trap). Your opponent can discard 1 card from their hand to negate this card's effect. If they do not, both players send 1 card of that type from their Deck to the Graveyard.
Gem-Knight Citrine	DT11	J-DO35	Pyro/Fusion/Effect	Earth	7	2200	1950		ocg	1 "Gem-Knight" Monster + 1 Pyro-Type Monster. This monster can only be Special Summoned by Fusion Summon (from the Extra Deck). If this card battles, your opponent cannot activate any Spell, Trap, or Effect Monster's effect until the end of the Damage Step.
